Q1783270,Q91192165
Q177013,Q28693603
Q1760295,Q85811908
Q17175103,Q838611
Q170161,Q939871
Q1672092,Q124716670
Q1666019,Q431603
Q1662581,Q1172480
Q1616363,Q837859
Q1614239,Q135241265
Q16089841,Q91432807
Q1587903,Q33122512
Q15782974,Q399445
Q15229207,Q381165
Q1497649,Q1030034
Q1497375,Q18247357
Q14916058,Q183366
Q1414991,Q4835091
Q1410881,Q1601114
Q1372231,Q112127984
Q13496663,Q1000809
Q133163,Q1661583
Q1327500,Q105738
Q132364,Q6046311
Q130388043,Q131647
Q130232421,Q6581097
Q130232348,Q6581072
Q1297428,Q3242199
Q1284092,Q4996207
Q1283324,Q682483
Q126733445,Q125323760
Q1236830,Q1935728
Q121810372,Q124472412
Q12147,Q16681739
Q12132663,Q133873855
Q12053157,Q284657
Q1188866,Q3095365
Q11871983,Q107679
Q116867856,Q42961155
Q11487748,Q130583684
Q1076579,Q7243147
Q107549413,Q1402592
Q1073340,Q625648
Q10673035,Q2101564
Q106673346,Q109905701
Q1064733,Q65665574
Q1048236,Q193395
Q1030037,Q10870555
Q1005024,Q5178970
Q841753,Q1764608
Q779415,Q24953176
Q106429438,Q106429092
Q9328551,Q104875186
Q55678,Q124673697
Q5153359,Q2183520
Q4683593,Q10374536
Q30526564,Q16127727
Q22276368,Q851162
Q21281028,Q43445087
Q1880708,Q100166391
Q16361793,Q544008
Q14552182,Q683363
Q133731287,Q7603925
Q12473490,Q11990179
Q11891582,Q1065129
Q950799,Q3070691
Q93899879,Q28943960
Q91615393,Q14946528
Q895471,Q895060
Q86735980,Q63141557
Q863944,Q2507626
Q85881753,Q11549519
Q8545897,Q132196958
Q8343710,Q1757070
Q830,Q4767951
Q8254378,Q15303838
Q81917,Q20034791
Q816826,Q11540953
Q7827994,Q1667082
Q7786697,Q55635722
Q7654661,Q2142152
Q76163442,Q1377575
Q7493710,Q107463746
Q741964,Q1341429
Q7157865,Q2178147
Q7137411,Q102496
Q6934877,Q16017119
Q6817452,Q5283089
Q67207116,Q570208
Q622645,Q1149305
Q6075661,Q1076566
Q57655560,Q167037
Q57577442,Q11638045
Q573766,Q2312838
Q559065,Q483444
Q55884772,Q6866483
Q53828709,Q4539
Q5282696,Q1194317
Q506702,Q7247847
Q49447,Q71966963
Q45220060,Q18324095
Q448050,Q593995
Q44541,Q123459407
Q43394491,Q43389550
Q4236467,Q30022
Q3884394,Q580499
Q3691017,Q121536501
Q355379,Q1511010
Q34736359,Q3118325
Q3462602,Q33005
Q3337312,Q628983
Q33120876,Q33120867
Q3273544,Q7644128
Q3267589,Q3267586
Q3258494,Q408891
Q323808,Q45090926
Q322229,Q114019691
Q3077457,Q207961
Q2890064,Q2048319
Q2851421,Q240673
Q2568951,Q3098609
Q253481,Q12008405
Q2305173,Q3734365
Q22856,Q356710
Q21697695,Q489209
Q2168617,Q697196
Q21512251,Q10711424
Q214272,Q113171270
Q2138167,Q383493
Q2094922,Q1281158
Q208385,Q11994509
Q20820013,Q16518
Q2071964,Q74026205
Q188734,Q12807180
Q188675,Q1373131
Q1879809,Q17485593
Q18631232,Q157031
Q1852689,Q182037
Q180673,Q6544379
Q1777301,Q849275
Q1762933,Q40763
Q17269995,Q23790
Q17260649,Q20973604
Q1721643,Q4926528
Q17213621,Q2261391
Q1702970,Q1169870
Q1682108,Q10716104
Q16685255,Q207869
Q16008700,Q1391583
Q15843493,Q813672
Q15840798,Q2625603
Q154106,Q4883194
Q1507792,Q1758690
Q14565995,Q235356
Q1402889,Q11451
Q1371288,Q1151405
Q136439877,Q136679973
Q1327461,Q932934
Q130705059,Q1752667
Q12822126,Q83437
Q124377741,Q1434505
Q123127825,Q12479774
Q122278344,Q122278292
Q12002092,Q11497309
Q11631443,Q121282984
Q11596025,Q3518136
Q11499617,Q395
Q11183787,Q253019
Q111224165,Q1133938
Q111141985,Q4807488
Q110961337,Q42310380
Q11051391,Q1251687
Q109254256,Q350723
Q108841485,Q4358176
Q108698159,Q798625
Q107289424,Q41415
Q10712411,Q57338471
Q106765309,Q10390031
Q10617810,Q1668151
